Source	Target	p	successes	observations	rate	expected	total source	total target	fraction source	fraction target
group_224	group_31	1.30222e-07	140	226	0.44655	101	48	92	0.212389	0.40708
group_224	group_32	1.56257e-10	198	226	0.695982	157	48	190	0.212389	0.840708
group_224	group_622	1.02642e-28	214	226	0.634897	143	48	166	0.212389	0.734513
group_228	group_67	2.40515e-29	224	226	0.720221	163	187	37	0.827434	0.163717
group_228	sp-Q00042-TNPX_ECOLI	1.67593e-27	223	226	0.723118	163	187	36	0.827434	0.159292
group_231	sp-P10484-T1M1_ECOLX~~~sp-Q47163-T1MP_ECOLX	6.05905e-11	151	226	0.453168	102	61	90	0.269912	0.39823
group_231	sp-P10486-T1R1_ECOLX	1.60016e-10	149	226	0.449095	101	61	88	0.269912	0.389381
group_237	group_31	9.73692e-13	157	226	0.460529	104	65	92	0.287611	0.40708
group_246	group_65	3.66715e-11	217	226	0.812867	184	198	19	0.876106	0.0840708
group_252	group_269	1.55226e-22	225	226	0.78624	178	27	198	0.119469	0.876106
group_252	group_43	1.55226e-22	225	226	0.78624	178	27	198	0.119469	0.876106
group_253	sp-P10484-T1M1_ECOLX~~~sp-Q47163-T1MP_ECOLX	4.12431e-07	137	226	0.440559	100	47	90	0.207965	0.39823
group_253	sp-P10486-T1R1_ECOLX	7.21345e-07	135	226	0.43539	98	47	88	0.207965	0.389381
group_254	sp-P58726-CSPJ_SALTI	2.00411e-18	183	226	0.531248	120	127	56	0.561947	0.247788
group_258	group_262	6.0435e-08	174	226	0.601222	136	160	58	0.707965	0.256637
group_258	group_34	1.1344e-13	195	226	0.643551	145	160	35	0.707965	0.154867
group_261	group_262	1.43458e-44	224	226	0.614144	139	166	58	0.734513	0.256637
group_261	group_34	2.42745e-15	201	226	0.661876	150	166	35	0.734513	0.154867
group_261	group_39	1.02642e-28	214	226	0.634897	143	166	48	0.734513	0.212389
group_261	group_678	3.73857e-07	188	226	0.684705	155	166	24	0.734513	0.106195
group_262	group_31	2.0103e-10	150	226	0.454773	103	58	92	0.256637	0.40708
group_262	group_32	1.4645e-15	202	226	0.665831	150	58	190	0.256637	0.840708
group_262	group_622	1.43458e-44	224	226	0.614144	139	58	166	0.256637	0.734513
group_264	group_67	2.40515e-29	224	226	0.720221	163	187	37	0.827434	0.163717
group_264	sp-Q00042-TNPX_ECOLI	1.67593e-27	223	226	0.723118	163	187	36	0.827434	0.159292
group_265	group_67	2.40515e-29	224	226	0.720221	163	187	37	0.827434	0.163717
group_265	sp-Q00042-TNPX_ECOLI	1.67593e-27	223	226	0.723118	163	187	36	0.827434	0.159292
group_267	group_67	2.89266e-28	223	226	0.717245	162	186	37	0.823009	0.163717
group_267	sp-Q00042-TNPX_ECOLI	1.49468e-26	222	226	0.720103	163	186	36	0.823009	0.159292
group_275	group_579	5.43645e-10	159	226	0.50141	113	116	101	0.513274	0.446903
group_275	group_591	1.87434e-08	156	226	0.507401	115	116	50	0.513274	0.221239
group_275	group_60	6.11171e-21	182	226	0.504112	114	116	78	0.513274	0.345133
group_275	group_600	1.52657e-07	153	226	0.506343	114	116	59	0.513274	0.261062
group_275	group_89	4.4063e-11	161	226	0.497651	112	116	133	0.513274	0.588496
group_275	sp-P10484-T1M1_ECOLX~~~sp-Q47163-T1MP_ECOLX	1.20376e-17	176	226	0.502702	114	116	90	0.513274	0.39823
group_275	sp-P10486-T1R1_ECOLX	1.47854e-16	174	226	0.502937	114	116	88	0.513274	0.389381
group_31	group_39	1.30222e-07	140	226	0.44655	101	92	48	0.40708	0.212389
group_31	sp-P10484-T1M1_ECOLX~~~sp-Q47163-T1MP_ECOLX	1.63467e-10	156	226	0.481087	109	92	90	0.40708	0.39823
group_31	sp-P10486-T1R1_ECOLX	6.82912e-10	154	226	0.479442	108	92	88	0.40708	0.389381
group_32	group_34	5.25778e-29	225	226	0.735179	166	190	35	0.840708	0.154867
group_32	group_39	1.56257e-10	198	226	0.695982	157	190	48	0.840708	0.212389
group_32	group_411	2.28064e-07	175	226	0.614574	139	190	75	0.840708	0.331858
group_32	group_507	5.11357e-09	200	226	0.726134	164	190	38	0.840708	0.168142
group_32	group_678	1.39939e-07	204	226	0.768345	174	190	24	0.840708	0.106195
group_32	group_682	8.44914e-07	188	226	0.689952	156	190	50	0.840708	0.221239
group_32	group_98	3.42904e-07	200	226	0.750255	170	190	30	0.840708	0.132743
group_34	group_622	2.42745e-15	201	226	0.661876	150	35	166	0.154867	0.734513
group_37	group_524	1.50131e-07	155	226	0.515506	117	80	125	0.353982	0.553097
group_37	group_579	1.92528e-08	151	226	0.484494	109	80	101	0.353982	0.446903
group_37	group_84	2.57916e-18	184	226	0.537474	121	80	142	0.353982	0.628319
group_39	group_622	1.02642e-28	214	226	0.634897	143	48	166	0.212389	0.734513
group_402	group_89	3.634e-07	159	226	0.53994	122	62	133	0.274336	0.588496
group_402	sp-P10484-T1M1_ECOLX~~~sp-Q47163-T1MP_ECOLX	4.27873e-07	140	226	0.454068	103	62	90	0.274336	0.39823
group_402	sp-P10486-T1R1_ECOLX	9.00823e-07	138	226	0.450074	102	62	88	0.274336	0.389381
group_411	group_557	4.69339e-07	131	226	0.415185	94	75	56	0.331858	0.247788
group_42	group_67	2.89266e-28	223	226	0.717245	162	186	37	0.823009	0.163717
group_42	sp-Q00042-TNPX_ECOLI	1.49468e-26	222	226	0.720103	163	186	36	0.823009	0.159292
group_47	group_609	4.30833e-07	155	226	0.52232	118	123	56	0.544248	0.247788
group_484	group_621	1.10749e-09	191	226	0.66681	151	42	173	0.185841	0.765487
